verse_id	version	heading_plain
11015024	KJV	Israel and Nadab
18003001	KJV	The Debate - Job's Outburst
43003001	KJV	Nicodemus
1003001	KJV	The Fall
1004001	KJV	Cain and Abel
1005001	KJV	Adam's Descendants
1006012	KJV	The Ark
1007010	KJV	The Great Flood
1009007	KJV	The Rainbow
1010001	KJV	Noah's Descendants
1011009	KJV	Ancestors of Abraham
1012001	KJV	God calls Abraham
1013001	KJV	Abraham and Lot
1015001	KJV	The Covenant
1018015	KJV	The Cities of the Plain
1020001	KJV	Abraham and Abimelech
1021001	KJV	Isaac
1022001	KJV	Offering of Isaac
1024001	KJV	Isaac and Rebekah
1025001	KJV	Death of Abraham
1025018	KJV	Esau and Jacob
1026001	KJV	The Philistines
1027001	KJV	Jacob
1028001	KJV	His Flight and Vision
1028017	KJV	Beth-el
1029001	KJV	Laban's Daughters
1030024	KJV	Jacob and Laban
1032001	KJV	Jacob and Esau
1034001	KJV	Jacob's Children
1035001	KJV	An Altar to God
1036001	KJV	Esau's Descendants
1037001	KJV	Joseph
1038001	KJV	Tribal History
1039001	KJV	Joseph in Egypt
1042001	KJV	His Brethren's Visits
1045015	KJV	Pharaoh's Invitation
1046001	KJV	God's Assurance
1046007	KJV	Jacob's Descendants
1046027	KJV	Jacob Goes to Egypt
1049001	KJV	Jacob's Blessing
1049027	KJV	Death of Jacob
1050014	KJV	Death of Joseph
2002001	KJV	Moses
2003001	KJV	The Angel of the Lord
2004017	KJV	Return to Egypt
2005001	KJV	Request to Pharaoh
2006013	KJV	Heads of the Families
2006027	KJV	Pharaoh's Refusal
2007013	KJV	The Plagues
2012001	KJV	The Passover
2012042	KJV	Ordinance of the Passover
2013016	KJV	The Exodus
2015001	KJV	Songs of Deliverance
2016001	KJV	Manna
2018001	KJV	Jethro
2019001	KJV	At Mount Sinai
2020021	KJV	The Book of the Covenant
2020021	KJV	Worship and Justice
2024001	KJV	The Covenant Confirmed
2025009	KJV	The Pattern of the Tabernacle
2028001	KJV	Priests
2029009	KJV	Sacrifices
2032001	KJV	The Golden Calf
2032029	KJV	Repentance
2034001	KJV	The Covenant is Renewed
2035001	KJV	The Building of the Tabernacle
2036007	KJV	The Tabernacle
19119001	KJV	א Aleph
19119016	KJV	ג Gimel
19119024	KJV	ד Dalet
19119032	KJV	ה He
19119040	KJV	ו Waw
19119048	KJV	ז Zain
19119064	KJV	ט Tet
19119072	KJV	י Yod
19119080	KJV	כ Kaph
19119088	KJV	ל Lamed
19119096	KJV	מ Mem
19119104	KJV	נ Nun
19119112	KJV	ס Samek
19119136	KJV	צ Zade
19119160	KJV	ש Shin
19119168	KJV	ת Taw
19119001	KJV	א Aleph
19119008	KJV	ב Bet
19119016	KJV	ג Gimel
19119024	KJV	ד Dalet
19119032	KJV	ה He
19119040	KJV	ו Waw
19119048	KJV	ז Zain
19119064	KJV	ט Tet
19119080	KJV	כ Kaph
19119088	KJV	ל Lamed
19119104	KJV	נ Nun
19119112	KJV	ס Samek
19119128	KJV	פ Pe
19119136	KJV	צ Zade
19119144	KJV	ק Qoph
19119160	KJV	ש Shin
19119168	KJV	ת Taw
2037001	KJV	The Ark
2037024	KJV	The Altars
2039001	KJV	The Ephod
2039031	KJV	The Tabernacle is erected
3001001	KJV	Sacrifices
3001002	KJV	The Burnt Offering
3002001	KJV	The Meat Offering
3003001	KJV	The Peace Offering
3004001	KJV	The Sin Offering
3005013	KJV	The Trespass Offering
3006007	KJV	Directions to Priests
3007010	KJV	The Peace Offerings
3008001	KJV	The Priesthood
3008005	KJV	Consecration
3009001	KJV	Induction
3010001	KJV	Exacting Service
3011001	KJV	Things Clean and Unclean
3011002	KJV	Food
3012001	KJV	Ritual Requirements
3013001	KJV	Leprosy
3015001	KJV	Personal Cleanliness
3016001	KJV	Day of Atonement
3017001	KJV	Law of Holiness
3017002	KJV	Sacrifices
3018001	KJV	Marriage
3019001	KJV	General Statutes
3021001	KJV	Rules for Priests
3023001	KJV	Sacred Calendar
3024001	KJV	Holy Things
3025001	KJV	Holy Times
3026002	KJV	Promises
3026013	KJV	Warnings
3027001	KJV	Vows and Tithes
4001001	KJV	The Camp at Sinai
4003001	KJV	Priests and Levites
4005001	KJV	Various Laws
4006001	KJV	Nazarites
4007001	KJV	Transport
4007083	KJV	Dedication
4008001	KJV	Service of Priests and Levites
4008004	KJV	The Levites
4008013	KJV	Their Service
4008019	KJV	Their Consecration
4008022	KJV	Period of Service
4009001	KJV	Keeping the Passover
4009008	KJV	Special Cases
4009014	KJV	Leaving Sinai
4010013	KJV	Order of the March
4011001	KJV	Discontent
4011030	KJV	Quails from the Sea
4012001	KJV	Miriam and Aaron
4013001	KJV	Spies Sent Out
4014001	KJV	Murmurings
4014012	KJV	Moses' Intercession
4014019	KJV	God's Judgement
4014039	KJV	Selfwilled People
4015001	KJV	Supplementary Laws
4016001	KJV	Moses and Aaron Challenged
4017001	KJV	Aaron's Rod
4018001	KJV	Law of Priests and Levites
4019001	KJV	The Red Heifer
4019010	KJV	Purification
4020001	KJV	Wandering in the Wilderness
4020001	KJV	Water from the Rock
4020013	KJV	Israel and Edom
4020021	KJV	Death of Aaron
4021003	KJV	Brasen Serpent
4021009	KJV	To the Plains of Moab
4022001	KJV	Balak and Balaam
4025001	KJV	Israel and Moab
4025005	KJV	The Midianites
4026001	KJV	Census of the People
4027001	KJV	Inheritance of Daughters
4027011	KJV	Moses and Joshua
4028001	KJV	A Calendar of Offerings
4030001	KJV	Vows
4031001	KJV	Spoils of War
4032001	KJV	Settlements of Tribes
4033001	KJV	Itinerary of the Journey
4033049	KJV	Division of Canaan
4035001	KJV	Cities for Levites
4035008	KJV	Cities of Refuge
4036001	KJV	Inheritance of Daughters
5004043	KJV	This is the Law
5012001	KJV	The Book of the Covenant
5012001	KJV	Statutes and Judgements
5012001	KJV	Religious Statutes
5016017	KJV	Civil Statutes
5019001	KJV	Criminal Law
5021014	KJV	Other Statutes
5026001	KJV	The Promised Land
5027001	KJV	The People of God
5028057	KJV	Words of Warning
5029001	KJV	A Last Appeal
5031023	KJV	The Written Word
5032001	KJV	The Song of Moses
5033001	KJV	The Blessing of Moses
5034001	KJV	The Death of Moses
6001001	KJV	The Promised Land
6002001	KJV	Spies Sent Out
6003001	KJV	Crossing the Jordan
6005012	KJV	Fall of Jericho
6007001	KJV	Ai is Destroyed
6009002	KJV	The Gibeonites
6010001	KJV	A Memorable Day
6010027	KJV	Completing the Conquest
6012001	KJV	Conquered Kings
6013001	KJV	Division of the Land
6013014	KJV	In the East
6014001	KJV	In the West
6018001	KJV	The Tabernacle
6020001	KJV	Cities of Refuge
6021001	KJV	Cities for Levites
6021042	KJV	Rest and Peace
6022009	KJV	Altar of Witness
6023001	KJV	Joshua's Farewell
7001001	KJV	Tribal Conquests
7003006	KJV	Othniel
7003011	KJV	Ehud
7004001	KJV	Deborah
7005001	KJV	Song of Deborah
7006001	KJV	Gideon
7006010	KJV	His Call
7007001	KJV	His Victories
7009001	KJV	His Son
7009021	KJV	The Men of Shechem
7010001	KJV	Minor Judges
7010005	KJV	Serving other Gods
7010016	KJV	The Ammonites
7011001	KJV	Jephthah
7011028	KJV	His Vow and Victory
7012001	KJV	Shibboleth
7012007	KJV	Minor Judges
7013001	KJV	Samson
7014001	KJV	Among the Philistines
7016003	KJV	Delilah
7017001	KJV	The Danites
7019001	KJV	The Benjamites
8002001	KJV	Ruth and Boaz
8003001	KJV	Naomi's Advice
8004001	KJV	Ruth's Marriage
9001008	KJV	Hannah's Prayer
9002011	KJV	The Sons of Eli
9002017	KJV	Samuel and Eli
9003001	KJV	The Call of Samuel
9007002	KJV	Samuel Rules Israel
9008001	KJV	Demand for a King
9009001	KJV	Saul
9010001	KJV	The Anointed King
9012001	KJV	Samuel's Farewell
9013001	KJV	Saul's Disobedience
9014001	KJV	Jonathan's Exploit
9015001	KJV	The Amalekites
9016001	KJV	David
9017001	KJV	David Slays Goliath
9018001	KJV	David and Jonathan
9021001	KJV	David and Saul
9025001	KJV	David and Abigail
9026001	KJV	Spares Saul's Life
9028006	KJV	The Witch of En-dor
9029001	KJV	David and His Men
9030020	KJV	Dividing the Spoil
9031001	KJV	The Death of Saul
10001016	KJV	David's Lament
10002001	KJV	King of Judah
10002007	KJV	The End of Saul's House
10003011	KJV	David, Abner, and Joab
10005001	KJV	King over all Israel
10005005	KJV	Capture of Jerusalem
10006001	KJV	The Ark of the Lord
10007001	KJV	The House of the Lord
10008001	KJV	Enemies and Friends
10011001	KJV	David and Bath-sheba
10013001	KJV	Family Problems
10015001	KJV	Absalom's Revolt
10015029	KJV	David's Flight
10018008	KJV	Death of Absalom
10019015	KJV	David's Return
10021001	KJV	Famine
10022001	KJV	Hymn of Praise
10023001	KJV	David's Last Words
10023007	KJV	His Mighty Men
10024001	KJV	Numbering the People
10024017	KJV	An Altar unto the Lord
11001004	KJV	David's Successor
11002001	KJV	David's Charge to Solomon
11003001	KJV	Marriage to Pharaoh's Daughter
11003004	KJV	Solomon's Choice of Wisdom
11004001	KJV	His Princes
11005001	KJV	Building the Temple
11006001	KJV	The House of the Lord
11007001	KJV	Solomon's House
11007012	KJV	Temple Furniture
11007050	KJV	The Dedication
11008021	KJV	Solomon's Prayer
11008053	KJV	His Blessing
11009001	KJV	God's Covenant
11009009	KJV	Cities and Ships
11010001	KJV	The Queen of Sheba
11010013	KJV	Wealth and Splendour
11011001	KJV	His Fall
11011025	KJV	Jeroboam's Revolt
11012001	KJV	The Kingdom Divided
11012025	KJV	Golden Calves
11013001	KJV	At Beth-el's Altar
11014001	KJV	Jeroboam's Son
11014020	KJV	Judah
11014020	KJV	Rehoboam
11015001	KJV	Abijam
11015008	KJV	Asa
11015026	KJV	Baasha
11016001	KJV	Jehu
11016007	KJV	Civil War in Israel
11016020	KJV	Omri
11016028	KJV	Ahab
11017001	KJV	Elijah
11017007	KJV	At Zarephath
11018001	KJV	In Samaria
11018019	KJV	Mount Carmel
11019001	KJV	On Mount Horeb
11019018	KJV	The Call of Elisha
11020001	KJV	Syria Attacks Israel
11021001	KJV	Naboth's Vineyard
11021016	KJV	Elijah denounces Ahab
11022001	KJV	The Death of Ahab
11022040	KJV	The Two Kingdoms
12001002	KJV	Elijah and the Messengers
12002001	KJV	Elijah's Translation
12002014	KJV	Elisha
12002018	KJV	Healed the Waters
12003003	KJV	Fills the Water Trenches
12004001	KJV	Vessels of Oil
